,spanish,english
1554,ropa,clothing
1555,parque,park
1556,empresarios,businessmen
1557,conmigo,with me
1558,procedimiento,process
1559,suma,addition
1560,elección,choice
1561,leer,read
1562,feliz,happy
1563,ninguno,neither
1564,continuación,continuation
1565,ministros,Ministers
1566,verdadera,True
1567,reacción,reaction
1568,podían,They could
1569,tanta,So much
1570,tomó,I take
1571,mente,mind
1572,tradicional,traditional
1573,abierta,open
1574,breve,brief
1575,aparecen,They appear
1576,trataba,I treated
1577,recibido,received
1578,mejorar,enhance
1579,ciertas,true
1580,aparte,besides
1581,cárcel,jail
1582,entidad,entity
1583,investigaciones,research
1584,temperatura,temperature
1585,siento,I feel
1586,londres,London
1587,directa,direct
1588,portavoz,spokesman
1589,eta,ETA
1590,responsables,responsible
1591,ventana,window
1592,contrato,contract
1593,elemento,element
1594,privada,private
1595,quince,fifteen
1596,veo,I see
1597,os,you
1598,firma,firm
1599,incluye,It includes
1600,pobres,poor
1601,vas,you go
1602,abogado,attorney
1603,presentar,present
1604,gobernador,governor
1605,próximos,next
1606,jaime,James
1607,hablando,speaking
1608,canal,channel
1609,tráfico,traffic
1610,capitán,captain
1611,personalidad,personality
1612,género,gender
1613,generación,generation
1614,documentos,Documents
1615,espectáculo,show
1616,vivo,alive
1617,tendría,would have
1618,preguntas,questions
1619,inmediatamente,immediately
1620,cien,one hundred
1621,colaboración,collaboration
1622,hermana,sister
1623,conde,count
1624,mío,Own
1625,federación,federation
1626,cincuenta,fifty
1627,sorpresa,surprise
1628,regiones,regions
1629,carga,load
1630,bienes,estate
1631,masa,dough
1632,cartas,letters
1633,reyes,Kings
1634,principalmente,mainly
1635,puestos,Posts
1636,sombra,shade
1637,andrés,Andrew
1638,criterios,criteria
1639,abrir,to open
1640,cuyos,whose
1641,filosofía,philosophy
1642,miró,I look
1643,negra,Black
1644,margen,margin
1645,artista,artist
1646,constante,constant
1647,encontraba,I found
1648,gastos,costs
1649,morir,To die
1650,espacios,spaces
1651,figuras,Figures
1652,miércoles,Wednesday
1653,venido,I come
1654,indica,indicates
1655,comienzo,beginning
1656,diseño,design
1657,cuarenta,forty
1658,encontró,he found
1659,poesía,poetry
1660,t,t
1661,planes,Plans
1662,ee,EE
1663,negocios,business
1664,integración,integration
1665,caída,drop
1666,entrega,delivery
1667,hacienda,tax authorities
1668,acuerdos,Agreements
1669,preciso,accurate
1670,cuello,neck
1671,banda,band
1672,suyo,yours
1673,realiza,makes
1674,frase,sentence
1675,bases,bases
1676,siglos,centuries
1677,decidido,decided
1678,sentir,to feel
1679,artistas,artists
1680,asegura,assures
1681,culpa,fault
1682,original,original
1683,únicamente,only
1684,unidades,units
1685,ocurrió,It occurred
1686,sexo,sex
1687,entra,enters
1688,hayan,have
1689,resolver,sort out
1690,misión,mission
1691,caja,cash register
1692,considerar,to consider
1693,extranjeros,foreign
1694,extremo,extreme
1695,periodista,journalist
1696,reducción,reduction
1697,matrimonio,marriage
1698,quieres,you want
1699,mas,more
1700,películas,films
1701,fui,I was
1702,laboral,labor
1703,importa,It matters
1704,seguía,It continued
1705,negocio,business
1706,sexual,sexual
1707,enseñanza,teaching
1708,agregó,He added
1709,labios,lips
1710,resolución,resolution
1711,fundación,Foundation
1712,hará,will do
1713,depende,It depends
1714,diego,Diego
1715,actor,actor
1716,técnicos,technicians
1717,belleza,beauty
1718,titular,headline
1719,roma,Rome
1720,logrado,accomplished
1721,víctimas,victims
1722,detalles,details
1723,europeos,Europeans
1724,caballo,horse
1725,huelga,strike
1726,carretera,highway
1727,norteamericano,North American
1728,producir,produce
1729,antigua,ancient
1730,alianza,alliance
1731,físico,physical
1732,sacar,to get
1733,publicidad,advertising
1734,previsto,provided
1735,entorno,environment
1736,preocupación,concern
1737,resistencia,resistance
1738,murió,he died
1739,éstas,are
1740,saben,They know
1741,generalmente,usually
1742,h,h
1743,dormir,to sleep
1744,individuo,individual
1745,cuerpos,bodies
1746,corto,short
1747,organismos,organisms
1748,especiales,special
1749,internet,Internet
1750,bancos,banks
1751,jugador,player
1752,esfuerzos,efforts
1753,beneficios,Benefits
1754,terminar,end up
1755,equilibrio,Balance
1756,oído,ear
1757,lectura,reading
1758,piezas,parts
1759,límites,boundaries
1760,aproximadamente,approximately
1761,abre,opens
1762,david,David
1763,llevado,carried
1764,privado,private
1765,salón,living room
1766,roberto,Robert
1767,actuales,current
1768,graves,serious
1769,sonrisa,smile
1770,uu,UU
1771,foto,Photo
1772,perspectiva,perspective
1773,cifra,figure
1774,crédito,credit
1775,interesante,interesting
1776,constitucional,constitutional
1777,aceptar,agree
1778,producido,produced
1779,bolsa,bag
1780,factor,factor
1781,noches,nights
1782,reconocimiento,recognition
1783,juventud,youth
1784,habitual,usual
1785,categoría,category
1786,requiere,requires
1787,fuese,It was
1788,impresión,Print
1789,llamar,call
1790,duro,Lasted
1791,universal,universal
1792,explicar,explain
1793,presentan,They present
1794,realización,realization
1795,rápido,Quick
1796,científicos,scientists
1797,serio,I laughed
1798,científico,scientific
1799,comprender,grasp
1800,reino,kingdom
1801,preparación,preparation
1802,síntomas,symptom
1803,recuperación,Recovery
1804,utilización,utilization
1805,fuertes,powerful
1806,sonido,sound
1807,inteligencia,intelligence
1808,conversación,conversation
1809,establece,establishes
1810,hubiese,there would be
1811,plena,full
1812,venía,came
1813,realizó,made
1814,aznar,Aznar
1815,daniel,Daniel
1816,francesa,French
1817,legal,legal
1818,abrió,Opened
1819,alegría,happiness
1820,ojo,eye
1821,ocurrido,happened
1822,díaz,Díaz
1823,vuelto,turned
1824,diputado,deputy
1825,correspondiente,correspondent
1826,interna,internal
1827,musical,musical
1828,segundos,seconds
1829,recientemente,Recently
1830,empieza,starts
1831,decreto,decree
1832,china,China
1833,pareció,it seemed
1834,células,Cells
1835,suelen,They usually
1836,perfectamente,perfectly
1837,azúcar,sugar
1838,inversiones,investments
1839,concentración,concentration
1840,espalda,back
1841,producen,produce
1842,democrática,democratic
1843,respondió,answered
1844,sucede,happens
1845,contexto,context
1846,claramente,clearly
1847,paredes,walls
1848,motivos,reasons
1849,ciencias,sciences
1850,tuve,had
1851,isabel,Isabel
1852,argentino,Argentinian
1853,inicio,beginning
1854,mercados,markets
1855,métodos,Methods
1856,estudiar,study
1857,interpretación,interpretation
1858,culturales,cultural
1859,prisión,prison
1860,llevan,They carry
1861,amplio,large
1862,queremos,we want
1863,apertura,opening
1864,dedos,fingers
1865,vale,OK
1866,creer,believe
1867,voto,vote
1868,participar,take part
1869,corrupción,corruption
1870,histórica,historical
1871,teresa,Teresa
1872,papá,father
1873,voces,voices
1874,pienso,I think
1875,ángel,Angel
1876,inicial,initial
1877,escala,scale
1878,estrellas,stars
1879,página,page
1880,guatemala,Guatemala
1881,temor,fear
1882,encontrado,found
1883,compra,buy
1884,pensó,thought
1885,dudas,Doubts
1886,reconocer,recognize
1887,máxima,maximum
1888,actuar,Act
1889,reales,real
1890,universo,universe
1891,directo,straight
1892,negociaciones,talks
1893,ricardo,Richard
1894,instalaciones,facilities
1895,artículos,articles
1896,aparato,apparatus
1897,lleno,full
1898,intelectual,intellectual
1899,cifras,Figures
1900,jardín,garden
1901,vacío,empty
1902,ciclo,cycle
1903,valle,Valley
1904,pensaba,thought
1905,forman,form
1906,dirigente,leader
1907,pide,requests
1908,vehículos,vehicles
1909,cuestiones,issues
1910,puesta,put
1911,llamó,I call
1912,ruiz,Ruiz
1913,mostró,He showed
1914,pecho,chest
1915,honor,honor
1916,pedir,ask for
1917,formar,to form
1918,numerosos,numerous
1919,seguramente,surely
1920,extraño,strange
1921,recurso,resource
1922,independiente,Independent
1923,posiciones,positions
1924,sociedades,societies
1925,exteriores,exterior
1926,cita,appointment
1927,periodo,period
1928,propuestas,proposals
1929,empleados,employees
1930,teniendo,having
1931,agencia,agency
1932,cuadros,picture
1933,partida,departure
1934,tensión,strain
1935,raúl,Raúl
1936,mirar,to watch
1937,rica,delicious
1938,mexicano,Mexican
1939,modelos,Models
1940,regreso,he came back
1941,gobiernos,Governments
1942,constituyen,They constitute
1943,absoluta,absolute
1944,clima,weather
1945,criterio,criterion
1946,latina,Latin
1947,continúa,keep going
1948,punta,tip
1949,amplia,wide
1950,registro,Registration
1951,sesión,session
1952,patria,homeland
1953,posee,has
1954,entró,I enter
1955,servir,to serve
1956,lluvia,rain
1957,ganado,won
1958,pasando,going
1959,construir,build
1960,completa,complete
1961,personales,personal
1962,reducir,reduce
1963,desarrollar,develop
1964,alcance,scope
1965,deporte,sport
1966,pacto,covenant
1967,elaboración,elaboration
1968,quedaba,It was
1969,vicepresidente,vice president
1970,alcohol,alcohol
1971,etcétera,etc.
1972,fórmula,formula
1973,inferior,lower
1974,tasa,rate
1975,expertos,experts
1976,extranjero,Foreign
1977,diciendo,saying
1978,olvidar,forget
1979,presentes,present
1980,pensando,thinking
1981,esperaba,I expected
1982,código,code
1983,cooperación,cooperation
1984,fotografía,Photography
1985,batalla,battle
1986,alternativa,alternative
1987,nacido,born
1988,árboles,trees
1989,penal,penal
1990,llena,full
1991,siguió,He continued
1992,hablaba,she spoke
1993,turismo,sightseeing
1994,papeles,papers
1995,menudo,often
1996,angel,angel
1997,papa,dad
1998,populares,popular
1999,estación,station
2000,rápidamente,quickly
2001,sección,section
2002,determinado,certain
2003,convertirse,become
2004,global,global
2005,negociación,negotiation
2006,instrumento,instrument
2007,dura,hard
2008,significado,meaning
2009,intensidad,intensity
2010,posterior,later
2011,múltiples,Multiple
2012,gas,gas
2013,nuevamente,again
2014,hierro,iron
2015,seguido,Following
2016,once,eleven
2017,conseguido,achieved
2018,di,gave
2019,soledad,loneliness
2020,mirando,looking at
2021,presentado,presented
2022,instrumentos,instruments
2023,supo,he knew
2024,disco,disk
2025,festival,festival
2026,llegan,They arrive
2027,mezcla,mix
2028,drogas,Drugs
2029,vivienda,living place
2030,x,x
2031,escuchar,to listen
2032,coronel,colonel
2033,completamente,completely
2034,ideal,ideal
2035,cáncer,cancer
2036,textos,texts
2037,hambre,hunger
2038,solidaridad,solidarity
2039,vicente,Vicente
2040,continuar,continue
2041,porcentaje,percentage
2042,artes,Arts
2043,vienen,they come
2044,iii,III
2045,villa,town
2046,ah,ah
2047,nicaragua,Nicaragua
2048,hacían,They did
2049,lector,reader
2050,estructuras,structures
2051,venir,to come
2052,castillo,castle
2053,opción,option
2054,comentó,commented
2055,sindicatos,Unions
2056,ganó,won
2057,amenaza,threat
2058,representante,representative
2059,comerciales,commercial
2060,puedes,you may
2061,planeta,planet
2062,perdió,lost
2063,beneficio,benefit
2064,miami,Miami
2065,buscando,searching
2066,sentimientos,feelings
2067,comprar,to buy
2068,quedar,stay
2069,accidente,accident
2070,ventaja,advantage
2071,impuesto,tax
2072,dejando,Leaving
2073,distinto,different
2074,tía,aunt
2075,semejante,similar
2076,españolas,Spanish
2077,occidental,western
2078,capaces,able
2079,científica,scientific
2080,tengan,have
2081,ruido,noise
2082,individuos,individuals
2083,víctima,victim
2084,vestido,dress
2085,comunista,communist
2086,moda,fashion
2087,títulos,Titles
2088,diagnóstico,diagnosis
2089,experiencias,experiences
2090,espejo,mirror
2091,puente,bridge
2092,ingreso,entry
2093,sueños,dreams
2094,vehículo,vehicle
2095,convierte,Convert
2096,viejos,old
2097,empezar,begin
2098,profesores,teachers
2099,pasión,passion
2100,basta,Enough
2101,democrático,democratic
2102,sintió,He felt
2103,dijeron,They said
2104,comunes,common
2105,sentimiento,feeling
2106,sentencia,judgment
2107,estatal,state
2108,madrugada,early morning
2109,moderna,Modern
2110,impacto,impact
2111,complejo,complex
2112,denuncia,complaint
2113,toro,bull
2114,víctor,Victor
2115,tabla,table
2116,delito,crime
2117,ventas,sales
2118,dominio,domain
2119,entidades,entities
2120,superiores,superiors
2121,candidatos,candidates
2122,gloria,glory
2123,índice,index
2124,indios,Indians
2125,raíz,root
2126,john,John
2127,xix,XIX
2128,recordó,recalled
2129,absoluto,absolute
2130,agricultura,farming
2131,marcos,frames
2132,composición,composition
2133,cuándo,when
2134,joaquín,Joaquin
2135,terminó,term
2136,fueran,They were
2137,asistencia,attendance
2138,explicación,Explanation
2139,torres,towers
2140,lógica,logic
2141,triste,sad
2142,avión,airplane
2143,enfermo,sick
2144,cuyas,whose
2145,excepción,exception
2146,habló,I speak
2147,placer,pleasure
2148,humor,humor
2149,mecanismos,mechanisms
2150,cerebro,brain
2151,caliente,hot
2152,excelente,Excellent
2153,darse,give
2154,conocimientos,knowledge
2155,príncipe,the prince
2156,religión,religion
2157,ganas,desire
2158,críticas,critics
2159,profunda,deep
2160,manifestaciones,manifestations
2161,dosis,dose
2162,baño,bathroom
2163,paro,unemployment
2164,profundo,deep
2165,conceptos,concepts
2166,depresión,depression
2167,altas,High
2168,pared,wall
2169,liberación,release
2170,estrella,star
2171,duración,duration
2172,perro,dog
2173,intentar,to try
2174,aumentar,increase
2175,asesinato,murder
2176,órdenes,orders
2177,ignacio,Ignacio
2178,roja,Red
2179,permiten,allow
2180,despacho,dispatch
2181,añade,Add
2182,poca,little
2183,recibe,receives
2184,muchacho,young guy
2185,considerado,considered
2186,conversaciones,Conversations
2187,tendrán,They will have
2188,definición,definition
2189,viven,they live
2190,consideran,They consider
2191,restos,remains
2192,tomado,taken
2193,estadio,stadium
2194,actores,actors
2195,debió,had
2196,conviene,It is convenient
2197,errores,mistakes
2198,negros,Blacks
2199,humanidad,humanity
2200,individual,individual
2201,hogar,home
2202,conocida,known
2203,acontecimientos,events
2204,minuto,minute
2205,millón,million
2206,pantalla,screen
2207,estadounidense,US
2208,progreso,progress
2209,inició,beginning
2210,pieza,part
2211,firme,sign
2212,fundamentales,fundamental
2213,olor,smell
2214,gracia,Grace
2215,autonomía,autonomy
2216,esencial,essential
2217,exige,demands
2218,viva,live
2219,norteamericana,North American
2220,nacimiento,birth
2221,polvo,dust
2222,castilla,Castile
2223,fundamentalmente,fundamentally
2224,impuestos,taxes
2225,implica,it implies
2226,utiliza,Use
2227,totalidad,whole
2228,discusión,discussion
2229,italiano,Italian
2230,postura,position
2231,clientes,customers
2232,luces,lights
2233,encontramos,we find
2234,liberal,liberal
2235,interno,internal
2236,dientes,teeth
2237,sesenta,sixty
2238,exactamente,exactly
2239,compañero,partner
2240,cuento,tale
2241,virus,virus
2242,tareas,chores
2243,evaluación,evaluation
2244,máquina,machine
2245,funcionario,official
2246,señalar,point
2247,residencia,home
2248,absolutamente,absolutely
2249,dolores,Dolores
2250,nació,born
2251,sebastián,Sebastian
2252,ánimo,cheer up
2253,caminos,roads
2254,torneo,tournament
2255,acabar,finish
2256,gol,goal
2257,fracaso,failure
2258,recorrido,route
2259,contiene,contains
2260,eficacia,effectiveness
2261,policías,Police
2262,suárez,Suárez
2263,inglaterra,England
2264,concreto,concrete
2265,determinar,decide
2266,haberse,have
2267,reglas,rules
2268,clinton,Clinton
2269,ríos,rivers
2270,redacción,drafting
2271,localidad,location
2272,escuelas,schools
2273,distinta,different
2274,seguida,followed
2275,paisaje,landscape
2276,comprobar,find out
2277,numerosas,numerous
2278,creciente,growing
2279,hernández,Hernández
2280,serían,would
2281,césar,cease
2282,crimen,crime
2283,conocía,I knew
2284,pintor,painter
2285,suya,hers
2286,definitivamente,definitely
2287,propiedades,properties
2288,cierre,closing
2289,jueces,Judges
2290,ofrecer,offer
2291,estaría,It would
2292,frontera,border
2293,virgen,virgin
2294,clasificación,classification
2295,municipales,municipal
2296,marina,Marine
2297,abuela,Grandmother
2298,componentes,Components
2299,adecuada,adequate
2300,resultó,turned out
2301,esperando,expecting
2302,oscuro,Dark
2303,parecido,similar
2304,detenido,stopped
2305,gasto,spent
2306,malo,bad
2307,pura,Pure
2308,investigadores,researchers
2309,cargos,charges
2310,cayó,it fell
2311,pasaba,passed
2312,abandonar,Leave
2313,sierra,saw
2314,lima,lime
2315,apareció,showed up
2316,secretaría,Secretary
2317,pausa,pause
2318,prácticas,practices
2319,cortés,cuts
2320,siguiendo,Following
2321,conclusión,conclusion
2322,habana,Havana
2323,convirtió,converted
2324,hipótesis,hypothesis
2325,editorial,editorial
2326,petróleo,Petroleum
2327,estén,are
2328,playa,beach
2329,invierno,winter
2330,convenio,agreement
2331,infantil,childish
2332,extensión,extension
2333,horno,kiln
2334,límite,limit
2335,elegido,chosen one
2336,concurso,contest
2337,japón,Japan
2338,probable,likely
2339,observar,watch
2340,déficit,deficit
2341,reconoce,recognize
2342,anual,annual
2343,trabajando,working
2344,responde,answer back
2345,tren,train
2346,presidencial,presidential
2347,vías,Ways
2348,interesa,interests
2349,supremo,supreme
2350,enemigo,enemy
2351,respectivamente,respectively
2352,dificultad,difficulty
2353,similares,Similar
2354,entiende,understands
2355,morales,Morales
2356,alimentación,feeding
2357,norma,rule
2358,mental,mental
2359,soluciones,solutions
2360,adecuado,suitable
2361,cuánto,how much
2362,santos,Saints
2363,amistad,friendship
2364,derrota,defeat
2365,consiguió,got
2366,positivo,positive
2367,compañías,Companies
2368,ejecución,performance
2369,expresó,express
2370,embajador,ambassador
2371,tomás,Thomas
2372,dulce,candy
2373,promedio,average
2374,letras,letters
2375,cuesta,cost
2376,academia,academy
2377,mando,I send
2378,costumbre,custom
2379,colectivo,collective
2380,piedras,stones
2381,rasgos,traits
2382,industriales,industrial
2383,mía,mine
2384,protesta,protest
2385,viajes,trips
2386,chica,girl
2387,periódicos,newspapers
2388,moneda,currency
2389,órganos,organs
2390,comunicado,release
2391,mantenimiento,maintenance
2392,geografía,geography
2393,manejo,driving
2394,fría,cold
2395,patrimonio,heritage
2396,exclusivamente,exclusively
2397,antiguos,ancient
2398,universidades,Universities
2399,frecuente,frequent
2400,oficio,job
2401,ayudar,help
2402,pedido,order
2403,superar,live through
2404,auto,auto
2405,relato,story
2406,unido,United
2407,sentado,seated
2408,quisiera,I'd like
2409,detalle,detail
2410,quedaron,They were
2411,obligado,obliged
2412,libres,free
2413,panamá,Panama
2414,acabó,just
2415,aeropuerto,airport
2416,pobreza,poverty
2417,reflexión,reflection
2418,cumbre,summit
2419,imaginación,imagination
2420,cubano,Cuban
2421,solar,solar
2422,costo,cost
2423,hubieran,there would be
2424,tesis,thesis
2425,catalán,Catalan
2426,armadas,armed
2427,hice,I made
2428,oír,hear
2429,dada,Dadaist
2430,estabilidad,stability
2431,vaso,glass
2432,mecanismo,mechanism
2433,escribe,writes
2434,aprender,learn
2435,cambiado,changed
2436,bilbao,Bilbao
2437,naturalmente,naturally
2438,comandante,commander
2439,potencia,power
2440,toros,Bulls
2441,puro,pure
2442,elegir,to choose
2443,facultad,faculty
2444,ocupa,occupies
2445,patio,courtyard
2446,recuperar,retrieve
2447,corta,short
2448,pase,happens
2449,necesarios,necessary
2450,responder,reply
2451,reuniones,Meetings
2452,daño,damage
2453,trabaja,works
2454,promoción,promotion
2455,ingredientes,ingredients
2456,descubrir,discover
2457,viviendas,households
2458,señal,sign
2459,clínica,clinic
2460,tradicionales,traditional
2461,loco,crazy
2462,paseo,walk
2463,arena,sand
2464,consideración,consideration
2465,deberán,They must
2466,esquema,scheme
2467,creado,created
2468,utilizado,used
2469,establecido,established
2470,concierto,concert
2471,manifestación,manifestation
2472,enfermos,sick
2473,rechazo,rejection
2474,salido,stepped out
2475,dejan,leave
2476,israel,Israel
2477,consciente,aware
2478,propone,proposes
2479,manifiesto,manifest
2480,publicado,published
2481,ejemplos,Examples
2482,llamaba,I called
2483,barco,boat
2484,usar,wear
2485,signo,sign
2486,afecta,it affects
2487,árbol,tree
2488,riqueza,wealth
2489,difusión,diffusion
2490,quiera,want
2491,disciplina,discipline
2492,vemos,we see
2493,felicidad,happiness
2494,mejora,gets better
2495,dirige,directs
2496,correr,to run
2497,dimensión,dimension
2498,oscar,Oscar
2499,petición,petition
2500,transformación,transformation
2501,notable,remarkable
2502,pista,track
2503,andalucía,Andalusia
2504,marta,Martha
2505,realizada,carried out
2506,aplicar,Apply
2507,cena,Dinner
2508,eléctrica,Electric
2509,enviado,sent
2510,modos,Modes
2511,fortuna,fortune
2512,conflictos,Conflicts
2513,infancia,childhood
2514,permitió,allowed
2515,campesinos,farmers
2516,tercero,third
2517,desea,wants
2518,sida,AIDS
2519,obligación,obligation
2520,oriente,East
2521,colección,collection
2522,eficaz,effective
2523,exceso,excess
2524,evidencia,evidence
2525,poderes,powers
2526,demostrar,show
2527,muestran,They show
2528,protagonista,protagonist
2529,alcanza,achieves
2530,recuerdos,souvenirs
2531,montaña,mountain
2532,dictadura,dictatorship
2533,observa,Look
2534,indígenas,natives
2535,pasan,pass
2536,ortega,Ortega
2537,claridad,clarity
2538,estuviera,I was
2539,consulta,query
2540,financiero,financial
2541,inflación,inflation
2542,senado,senate
2543,tropas,troops
2544,mexicana,Mexican
2545,correspondientes,corresponding
2546,levantó,I raise
2547,vuelo,flight
2548,imperio,empire
2549,gana,Win
2550,agente,agent
2551,respuestas,answers
2552,civiles,civilians
2553,pierde,misses
2554,moderno,modern
2555,homenaje,tribute
2556,establecimiento,establishment
2557,crea,creates
2558,fiestas,parties
2559,números,numbers
2560,controlar,check
2561,tratando,treating
2562,intenta,Try
2563,circulación,circulation
2564,reserva,booking
2565,silla,chair
2566,franceses,French
2567,expresa,Express
2568,escribió,wrote
2569,virtud,virtue
2570,satisfacción,satisfaction
2571,huevos,eggs
2572,vos,you
2573,descenso,decline
2574,terrorismo,terrorism
2575,ecuador,Ecuador
2576,chico,guy
2577,segura,safe
2578,contó,told
2579,líderes,Leaders
2580,lentamente,slowly
2581,historias,stories
2582,galicia,Galicia
2583,acompañado,accompanied
2584,décadas,decades
2585,reconoció,recognized
2586,hago,I make
2587,apartado,pulled apart
2588,feria,fair
2589,rueda,wheel
2590,usuarios,Users
2591,útil,Useful
2592,emilio,Emilio
2593,cumplimiento,compliance
2594,transición,transition
2595,campeón,champion
2596,xx,XX
2597,verse,see yourself
2598,anteriormente,previously
2599,defender,defend
2600,cuáles,which
2601,hecha,made
2602,remedio,remedy
2603,ponen,They put
2604,debo,I shall
2605,procedimientos,procedures
2606,gritos,Screams
2607,círculo,circle
2608,norteamericanos,North Americans
2609,rojas,Red
2610,dirigido,managed
2611,delitos,crimes
2612,avenida,avenue
2613,alonso,Alonso
2614,obtuvo,He obtained
2615,matar,kill
2616,cortes,cuts
2617,grados,degrees
2618,previamente,previously
2619,publicación,publication
2620,aprendizaje,learning
2621,motor,engine
2622,crítico,critical
2623,señores,Sirs
2624,muchacha,girl
2625,rumbo,course
2626,trato,deal
2627,arquitectura,architecture
2628,querer,want
2629,encargado,in charge
2630,pensé,I thought
2631,distrito,district
2632,rápida,fast
2633,ay,Oh
2634,campeonato,championship
2635,gabriel,Gabriel
2636,maestros,Teachers
2637,reformas,Reforms
2638,explotación,exploitation
2639,católica,Catholic
2640,contenidos,CONTENTS
2641,sustancias,substances
2642,regresar,to get back
2643,formado,formed
2644,creía,I believed
2645,juzgado,court
2646,bolivia,Bolivia
2647,famoso,famous
2648,avance,Advance
2649,particulares,individuals
2650,usa,uses
2651,cerrar,to close
2652,aprobación,approval
2653,llamadas,calls
2654,termina,ends
2655,borde,edge
2656,fenómenos,phenomena
2657,of,of
2658,metro,subway
2659,corrientes,Corrientes
2660,dedicado,dedicated
2661,zaragoza,Saragossa
2662,creen,They believe
2663,continente,continent
2664,ventajas,advantages
2665,clásico,classic
2666,orquesta,orchestra
2667,oye,hears
2668,analizar,analyze
2669,ernesto,Ernesto
2670,cuentan,They tell
2671,diarios,Diaries
2672,dueño,owner
2673,actitudes,attitudes
2674,bajar,go down
2675,telefónica,Telefónica
2676,rusia,Russia
2677,coalición,coalition
2678,gustaría,would like
2679,cerrado,closed
2680,descubierto,discovered
2681,urbano,urban
2682,atentado,attempt
2683,deportivo,sports
2684,viendo,watching
2685,órgano,organ
2686,asociaciones,associations
2687,instalación,facility
2688,hombros,shoulders
2689,introducción,introduction
2690,demostrado,demonstrated
2691,determinados,determined
2692,mostrar,show
2693,atmósfera,atmosphere
2694,gentes,people
2695,moreno,Brown
2696,sabido,known
2697,diga,Say
2698,vender,sell
2699,dejaba,I left
2700,polémica,controversy
2701,guillermo,William
2702,vacaciones,holidays
2703,vidas,lives
2704,mediados,Mid
2705,subir,upload
2706,iniciar,Start
2707,droga,drug
2708,iv,IV
2709,asegurar,to assure
2710,entusiasmo,enthusiasm
2711,prestigio,prestige
2712,centrales,central
2713,edificios,buildings
2714,contestó,replied
2715,extraña,strange
2716,signos,signs
2717,cristo,Christ
2718,permitir,allow
2719,sensibilidad,sensitivity
2720,lógico,logical
2721,terminado,finished
2722,bar,Pub
2723,comenzaron,They started
2724,ciudadano,citizen
2725,actuaciones,performances
2726,particularmente,particularly
2727,especialistas,specialists
2728,canciones,songs
2729,golpes,hits
2730,pertenece,It belongs
2731,legislación,legislation
2732,delegación,delegation
2733,anoche,last night
2734,dignidad,dignity
2735,armada,navy
2736,unidas,United
2737,citado,aforementioned
2738,conveniente,convenient
2739,empresario,entrepreneur
2740,llaman,They call
2741,presos,prisoners
2742,expansión,expansion
2743,radical,radical
2744,advirtió,He warned
2745,tomando,taking
2746,comenzar,to start
2747,conforme,according
2748,detenidos,arrested
2749,deseos,wishes
2750,impulso,impulse
2751,dispone,has
2752,necesarias,necessary
2753,esquina,corner
2754,productores,producers
2755,ponerse,to put on
2756,destaca,stands out
2757,mantuvo,kept up
2758,cola,line
2759,tuviera,had
2760,inmediata,immediate
2761,mexicanos,Mexicans
2762,socios,partners
2763,bajas,low
2764,informes,reports
2765,romero,rosemary
2766,jefes,bosses
2767,argumento,argument
2768,cultivo,crop
2769,vivía,she lived
2770,opiniones,Opinions
2771,reloj,watch
2772,in,in
2773,habido,There have been
2774,riesgos,risks
2775,meta,goal
2776,gonzalo,Gonzalo
2777,laboratorio,laboratory
2778,comunicaciones,Communications
2779,medias,socks
2780,elena,Elena
2781,escolar,school
2782,danza,dance
2783,terrible,terrible
2784,notas,notes
2785,entero,whole
2786,suave,smooth
2787,alejandro,Alexander
2788,activa,Active
2789,dirigida,directed
2790,eje,axis
2791,variedad,variety
2792,fácilmente,easily
2793,canción,song
2794,cantidades,amounts
2795,orientación,orientation
2796,fotos,Photos
2797,definir,define
2798,masas,masses
2799,tabaco,tobacco
2800,aventura,adventure
2801,próximas,next
2802,pude,could
2803,llegaba,It arrived
2804,conocidos,known
2805,raíces,estate
2806,gravedad,gravity
2807,blancos,White
2808,gabinete,cabinet
2809,alfredo,Alfred
2810,municipio,municipality
2811,arroz,rice
2812,potencial,potential
2813,islas,Islands
2814,goles,Goals
2815,oportunidades,opportunities
2816,estuvieron,They were
2817,caballero,Knight
2818,colocar,place
2819,comentarios,comments
2820,profundidad,depth
2821,comprensión,comprehension
2822,panorama,panorama
2823,otan,NATO
2824,revolucionario,revolutionary
2825,síntesis,synthesis
2826,seno,breast
2827,anda,walk
2828,dependencia,dependence
2829,primavera,spring
2830,aumenta,increases
2831,manifiesta,Manifest
2832,fruto,fruit
2833,brillante,shiny
2834,sindicato,labor union
2835,fechas,dates
2836,torre,tower
2837,oscuridad,darkness
2838,anuncio,advertisement
2839,intelectuales,intellectuals
2840,ampliación,extension
2841,conservación,conservation
2842,inicia,start
2843,alcanzó,reached
2844,teniente,lieutenant
2845,demuestra,shows
2846,salas,rooms
2847,vital,vital
2848,pudieron,could
2849,carreras,careers
2850,sabor,flavour
2851,combate,combat
2852,efectivamente,effectively
2853,lágrimas,tears
2854,disminución,decrease
2855,plantea,raises
2856,provincial,provincial
2857,miraba,I looked
2858,caracas,Caracas
2859,situado,located
2860,caballos,horses
2861,proteínas,Proteins
2862,biblioteca,library
2863,recientes,Recent
2864,afuera,outside
2865,jiménez,Jiménez
2866,tasas,rates
2867,levanta,Raise
2868,cuarta,quarter
2869,taza,cup
2870,conclusiones,Conclusions
2871,necesitan,They need
2872,negativa,negative
